!,,,,,,,,+++,,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
+++,A01770,P1084,AT21,Q0035,,1967,1967,,,SS00606,37,3,F,,reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
+++,A01771,P1084,AT09,PS00087,,1967,1967,,the Lin Biao preface to the new edition at the beginning of the CR,SS00606,40,3,F,she excels (p.41),,NULL,2020-07-08,MG,2020-07-08,MG
+++,A01772,P1084,AT09,PS00475,,1967,1967,,,SS00606,40,3,F,she excels (p.41),,NULL,2020-07-08,MG,2020-07-08,MG
+++,A01773,P1085,AT45,PS00218,,1967,1967,,,SS00606,45,3,F,'Etwas warm geworden; he? Wie steht’s; Lehrer Wang – am Anfang wohl ziemlich ungewohnt? So wird der Stahl gehärtet!‘,,NULL,2020-07-08,MG,2020-07-08,MG
+++,A01774,P1085,AT01,PS09999,,1967,1967,,,SS00606,48,3,F,letters from P1084,,NULL,2020-07-08,MG,2020-07-08,MG
+++,A01775,P1085,AT67,PS09999,,1967,1967,,Two maple leaves and a letter from Danfeng in his copy of Mao’s words; he reads that together with the new letter after Danfeng’s death,SS00606,48,3,F,letters from P1084,,NULL,2020-07-08,MG,2020-07-08,MG
+++,A01776,P1084,AT21,Q0034,P1085,1967,1967,,in her new letter,SS00606,48,3,F,,reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
+++,A01777,P0999,AT21,Q0036,,1967,1967,,the loudspeakers play a song from The Words of Mao Zedong,SS00606,48-50,3,F,,reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
+++,A01778,P1088,AT65,PS00870,,1950..1960?,1950..1960?,,,SS00608,1,3,F,page numbers refer to sections in the text,,NULL,2021-01-18,MG,2021-01-18,MG
+++,A01779,P0999,AT61,PS00870,,1950..1960?,1950..1960?,,Youth League recommends it,SS00608,1,3,F,page numbers refer to sections in the text,,NULL,2021-01-18,MG,2021-03-18,MG
+++,A01780,P1090,AT01,PS00871,,1950..1960?,1950..1960?,,Liu says he read all four volumes in one night,SS00608,1,3,F,page numbers refer to sections in the text,,NULL,2021-01-18,MG,2021-01-18,MG
+++,A01781,P1088,AT05,PS09999,,1950..1960?,1950..1960?,,Lin keeps a diary,SS00608,3,3,F,page numbers refer to sections in the text. Unknown work G14,,NULL,2021-01-18,MG,2021-03-15,MG
+++,A01782,P1089,AT02,PS00872,,1950..1960?,1950..1960?,,She copies a document,SS00608,2,3,F,page numbers refer to sections in the text,,NULL,2021-01-18,MG,2021-01-18,MG
+++,A01783,P1121,AT17,PS00873,,2046,2046,,is recited throughout,SS00665,153-196,3,F,L0010,translation,NULL,2021-03-12,MG,2021-03-12,MG
+++,A01784,P1121,AT01,PS00873,,2046,2046,,is read throughout,SS00665,153-196,3,F,L0010,translation,NULL,2021-03-12,MG,2021-03-12,MG
+++,A01785,P1121,AT45,PS00873,,2046,2046,,the entire story is an adaptation of 1984,SS00665,153-196,3,F,L0010,translation,NULL,2021-03-12,MG,2021-03-12,MG
+++,A01786,P1123,AT47,PS00873,,2046,2046,,she remembers the story from an earlier reading,SS00665,180f;185;192,3,F,L0010,translation,NULL,2021-03-12,MG,2021-03-15,MG
+++,A01787,P1121,AT45,PS09999,,2046,2046,,A. picks Wang Er as his ‘name’ for the Talking Club,SS00665,178,3,F,L0010; unknown work by P0759,translation,NULL,2021-03-15,MG,2021-03-15,MG
+++,A01788,P1124,AT45,PS09999,,1999..2020~,1999..2020~,,the narrator emphasizes his academic self-image. But in the following he learns that SF imagination; the existence of what was tentatively called ‘venus people’ seem to exist,SS00664,158,3,F,unknown work G07,reading time; does this IR relate to the English translation? Can’t find it..,NULL,2021-03-15,MG,2021-04-15,MG
+++,A01789,P1124,AT45,PS09999,,1999..2020~,1999..2020~,,comparison: ‘Can they be as evil as in a piece written by a British author’,SS00664,168,3,F,unknown work G07,reading time; does this IR relate to the English translation? Can’t find it..,NULL,2021-03-15,MG,2021-04-15,MG
+++,A01790,P1125,AT45,AW09999,,2040..2060~,2040..2060~,,He is woken up by the music of Wagner,SS00660,,3,F,unknown artwork AF05 by P1126,translation? IR at the beginning of chapter 2,NULL,2021-03-15,MG,2021-03-15,MG
+++,A01791,P1125,AT45,PS00874,,2040..2060~,2040..2060~,,IR to Paradise Lost (in the title),SS00660,,3,F,,translation?,NULL,2021-03-15,MG,2021-03-15,MG
+++,A01792,P1128,AT45,PS09999,,2030..2050~,2030..2050~,,,SS00658,,3,F,unknown work by P0337,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01793,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P0400,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01794,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P0392,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01795,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P1130,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01796,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P1131,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01797,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P1132,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01798,P1129,AT01,PS09999,,2030..2050~,2030..2050~,,as a student of philosophy she studies those authors but they don’t help either,SS00658,,3,F,unknown work by P1133,check page number. Translation,NULL,2021-03-18,MG,2021-04-15,MG
+++,A01799,P1134,AT65,PS09999,,1966..1976,1966..1976,,he brought books with him that he meant to study,SS00657,14,3,F,,,NULL,2021-03-23,MG,2021-03-25,MG
+++,A01800,P1135,AT45,Q0034,,1966..1976,1966..1976,,one guard reprimands Zhu with an unmarked Mao quote,SS00657,23,3,F,,,NULL,2021-03-23,MG,2021-03-25,MG
+++,A01801,P1138,AT45,PS09999,,1966..1976,1966..1976,,,SS00657,27,3,F,unknown work by P0800,,NULL,2021-03-23,MG,2021-03-25,MG
+++,A01802,P1138,AT45,PS09999,,1966..1976,1966..1976,,,SS00657,27,3,F,unknown work by P0178,,NULL,2021-03-23,MG,2021-03-25,MG
+++,A01803,P1138,AT45,PS09999,,1966..1976,1966..1976,,,SS00657,27,3,F,unknown work by P1136,,NULL,2021-03-23,MG,2021-03-25,MG
+++,A01804,P1135,AT17,AW00124,,1966..1976,1966..1976,,recites two lines from The White Haired Girl,SS00657,28,3,F,,,NULL,2021-03-24,MG,2021-03-25,MG
+++,A01805,P1135,AT45,PS09999,,1966..1976,1966..1976,,,SS00657,41,3,F,unknown work by P1137,,NULL,2021-03-24,MG,2021-03-25,MG
+++,A01806,P1139,AT32,AW00124,,1966..1976,1966..1976,,During the fire; he sings in sad and shrill voice,SS00657,42,3,F,,,NULL,2021-03-24,MG,2021-03-25,MG
+++,A01807,P1134,AT22,AW00124,,1966..1976,1966..1976,,Zhu remembers the quote,SS00657,41,3,F,,,NULL,2021-03-24,MG,2021-03-25,MG
+++,A01808,P1135,AT45,AW00124,,1966..1976,1966..1976,,Last sentence; pointing beyond the CR,SS00657,44,3,F,,,NULL,2021-03-24,MG,2021-03-25,MG
+++,A01809,P1118,AT66,PS09999,,1978..1998~,1978..1998~,,on a 5 year old map the city had not yet existed,SS00652,47,3,F,unknown work G73,,NULL,2021-03-26,MG,2021-04-15,MG
+++,A01810,P1118,AT05,PS09999,,1978..1998~,1978..1998~,,,SS00652,48,3,F,unknown work G31,,NULL,2021-03-26,MG,2021-04-15,MG
+++,A01811,P1118,AT45,PS09999,,1978..1998~,1978..1998~,,IR to an old book 4000years ago; elephants were used to fill the fields,SS00652,50,3,F,,,NULL,2021-03-26,MG,2021-04-15,MG
+++,A01812,P1142,AT13,PS09999,P1118,1978..1998~,1978..1998~,,I receives a letter from Li,SS00652,50,3,F,,,NULL,2021-03-26,MG,2021-04-15,MG
+++,A01813,P1118,AT45,PS00263,,1978..1998~,1978..1998~,,,SS00652,56,3,F,,,NULL,2021-03-26,MG,2021-04-15,MG
+++,A01814,P1151,AT01,PS09999,,2000..2050~,2000..2050~,,Read in a library. Vision of free and openly available readings and user-friendliness (high-tech),SS00666,128,3,F,L0001; unknown work G82,Translation,NULL,2021-04-15,MG,2021-05-05,MG
+++,A01815,P1149,AT01,PS00875,,2000..2050~,2000..2050~,,Read in a library. Vision of free and openly available readings and user-friendliness (high-tech),SS00666,131ff,3,F,L0001,Translation,NULL,2021-04-15,MG,2021-05-05,MG
+++,A01816,P1153,AT61,PS00875,P1149,2000..2050~,2000..2050~,,,SS00666,125,3,F,,Translation,NULL,2021-04-15,MG,2021-05-05,MG
+++,A01817,P1149,AT45,PS00259,,2000..2050~,2000..2050~,,reference to Wu Song,SS00666,,3,F,,Translation,NULL,2021-04-15,MG,2021-05-05,MG
+++,A01818,P1149,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00666,,3,F,Unknown work G83; reference to P1154,Translation,NULL,2021-04-15,MG,2021-05-05,MG
+++,A01819,P1152,AT01,PS09999,,2000..2050~,2000..2050~,,editor reads readers’ letters,SS00655,1f,3,F,unknown work G15,,NULL,2021-04-23,MG,2021-04-23,MG
+++,A01820,P1152,AT45,PS00259,,2000..2050~,2000..2050~,,reference to Wu Song,SS00655,38,3,F,,,NULL,2021-04-23,MG,2021-04-23,MG
+++,A01821,P1152,AT45,PS09999,,2000..2050~,2000..2050~,,reference to Lu Xun as landmark on the moon,SS00655,70,3,F,unknown work by P0001,,NULL,2021-04-23,MG,2021-04-23,MG
+++,A01822,P1152,AT45,PS09999,,2000..2050~,2000..2050~,,reference to Li Shizheng as landmark on the moon,SS00655,70,3,F,unknown work by P0010,,NULL,2021-04-23,MG,2021-04-23,MG
+++,A01823,P1149,AT01,PS00875,,2000..2050~,2000..2050~,,read in a library,SS00655,103,3,F,L0001,,NULL,2021-04-23,MG,2021-04-23,MG
+++,A01824,P1155,AT32,PS09999,,2030..2099~,2030..2099~,1,Buddhist ceremony at narrator’s 1st birthday sets the scene; verses attributed to P1156,SS00651,387,3,F,unknown work by P1156; G10,Translation,NULL,2021-05-05,MG,2021-05-05,MG
+++,A01825,P9999,AT01,PS09999,,2030..2099~,2030..2099~,,Marketing experts read Mr. Wan’s profile timeline,SS00651,393,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01826,P1155,AT05,PS00512,,2030..2099~,2030..2099~,,'Whether you put your hand on a Bible or an iPod; in the end you were praying to the same god’,SS00651,395,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01827,P1155,AT05,PS00087,,2030..2099~,2030..2099~,,,SS00651,401,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01828,P1155,AT04,PS09999,,2030..2099~,2030..2099~,,spreading Buddhism online,SS00651,402,3,F,unknown work ; G29  Buddhism,Buddhism as background to the narrative; Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01829,P1157,AT05,PS00263,,2030..2099~,2030..2099~,,'I think you’ve read Journey to the West too many times’,SS00651,405,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01830,P1155,AT01,PS00263,,2030..2099~,2030..2099~,,,SS00651,405,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01831,P1157,AT45,PS09999,,2030..2099~,2030..2099~,,he quotes: ‘Any sufficiently advanced technology is indistinguishable from Buddhist magic’,SS00651,407,3,F,unknown work by P1158,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01832,P1157,AT21,Q0037,,2030..2099~,2030..2099~,,,SS00651,407,3,F,,Translation,NULL,2021-05-05,MG,2021-06-05,MG
+++,A01833,P1159,AT01,PS09999,,1998,1998,,activities in the lecture hall during the evening during what seems to be study time,SS00648,87,3,F,unknown work G84; L0012,Translation,NULL,2021-06-05,MG,2021-06-12,MG
+++,A01834,P1159,AT01,PS09999,,1998,1998,,activities in the lecture hall during the evening during what seems to be study time,SS00648,,3,F,unknown work G52  (gossip magazine); L0012,Translation,NULL,2021-06-05,MG,2021-06-12,MG
+++,A01835,P0999,AT03,AW09999,P1159,1998,1998,,A CD as a gift,SS00648,,3,F,unknown artwork AF05 by P1160,Translation,NULL,2021-06-05,MG,2021-06-07,MG
+++,A01836,P1159,AT45,PS00813,,1998,1998,,She kills her mother and puts her father into the trap where he had kept her mother. She offers him the flesh of her mother.,SS00648,108f,3,F,,Translation,NULL,2021-06-05,MG,2021-06-07,MG
+++,A01837,P1162,AT45,PS00877,,2030..2050~,2030..2050~,,as inspiration,SS00647,148,3,F,,Translation,NULL,2021-06-07,MG,2021-06-07,MG
+++,A01838,P1162,AT45,PS09999,,2030..2050~,2030..2050~,,Greek myth about Delphinius as meta-text?,SS00647,148,3,F,unknown work G83,Translation,NULL,2021-06-07,MG,2021-06-07,MG
+++,A01839,P1162,AT45,PS09999,,2030..2050~,2030..2050~,,IR to Chinese publication of SF world in gray section – unclear whether it is a SF story,SS00647,148,3,F,,Translation,NULL,2021-06-07,MG,2021-06-07,MG
+++,A01840,P1163,AT01,PS09999,,2030..2050~,2030..2050~,,after gaining his authorial superpowers he picks a book at random; reading speed increase and his memory,SS00645,335,3,F,unknown work,Translation,NULL,2021-06-12,MG,2021-06-12,MG
+++,A01841,P1163,AT13,PS09999,,2030..2050~,2030..2050~,,,SS00645,336,3,F,unknown work G23,Translation,NULL,2021-06-12,MG,2021-06-12,MG
+++,A01842,P1163,AT13,PS09999,,2030..2050~,2030..2050~,,,SS00645,336,3,F,unknown work G10,Translation,NULL,2021-06-12,MG,2021-06-12,MG
+++,A01843,P1163,AT13,PS09999,,2030..2050~,2030..2050~,,,SS00645,336,3,F,unknown work G85,Translation,NULL,2021-06-12,MG,2021-06-12,MG
+++,A01844,P1165,AT45,PS00878,,2030..2050~,2030..2050~,,reference to Douglas Adams’ novel of the same title. Meta text,SS00645,,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01845,P1165,AT45,PS09999,,2030..2050~,2030..2050~,,reference to the history of literature,SS00645,337,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01846,P1163,AT01,PS09999,,2030..2050~,2030..2050~,,Ah Chen is successful but unhappy and never reads his own works,SS00645,339,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01847,P1165,AT45,PS09999,,2030..2050~,2030..2050~,,'Humanity always reenacts the same bildungsroman. All  the principles you learn through the struggles today had been written down by the ancients thousands of years ago’,SS00645,337,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01848,P1166,AT05,PS09999,,2030..2050~,2030..2050~,,Father tells Ah Chen that a book will win an award on earth (the bool based on his dead wife’s diary),SS00645,,3,F,unknown work G14,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01849,P1168,AT45,PS00121,,2030..2050~,2030..2050~,,,SS00644,128,3,F,,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01850,P0999,AT11,PS00121,,2030..2050~,2030..2050~,,Salinger’s book had been translated into Korean many years ago,SS00644,128,3,F,PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01851,P0999,AT01,PS00121,,2030..2050~,2030..2050~,,the book was read by generation after generation of N.K. students,SS00644,128,3,F,PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01852,P1167,AT13,PS09999,,2030..2050~,2030..2050~,,rumour had it that he had written some new books that were never published,SS00644,130,3,F,PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01853,P1167,AT34,PS09999,,2030..2050~,2030..2050~,,Salinger imitates Helder,SS00644,131,3,F,unknown work by P1169; PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01854,P0999,AT34,PS09999,,2030..2050~,2030..2050~,,Salinger sees the N.K. soldiers as imitation of Helder,SS00644,131,3,F,unknown work by P1169; PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01855,P1167,AT29,PS09999,,2030..2050~,2030..2050~,,Salinger experiences a pleasurable dizziness as through drunk with fine wine – truth;reality; imitation,SS00644,131,3,F,unknown work by P1169; PL0050,Translation; Reading time?,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01856,P0999,AT01,PS00342,,2030..2050~,2030..2050~,,peasants did not read Verne,SS00642,118,3,F,L0013,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01857,P0999,AT34,PS00342,,2030..2050~,2030..2050~,,city dwellers suspect that peasants used knowledge from this book,SS00642,118,3,F,L0013,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01858,P1170,AT01,PS00879,,2030..2050~,2030..2050~,,reads a copy,SS00641,93,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01859,P1174,AT45,PS09999,,2030..2050~,2030..2050~,,,SS00636,212,3,F,unknown work by P1171,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01860,P1174,AT45,PS09999,,2030..2050~,2030..2050~,,,SS00636,216,3,F,unknown work by P1172 ;  G34,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01861,P1174,AT45,PS00880,,2030..2050~,2030..2050~,,,SS00636,216,3,F,,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01862,P1174,AT45,PS09999,,2030..2050~,2030..2050~,,travel writing; telling romances of faraway places to one’s beloved,SS00636,216,3,F,unknown work G34,Translation,NULL,2021-06-14,MG,2021-06-14,MG
+++,A01863,P1176,AT05,AW00210,,2012..2013,2012..2013,,'I’m not afraid of becoming a living Baiyman Buddha’,SS00639,333,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01864,P1175,AT45,PS00126,,2012..2013,2012..2013,,reference to Ali Baba,SS00639,340,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01865,P1175,AT45,PS00881,,2012..2013,2012..2013,,,SS00639,323,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01866,P1175,AT45,AW00210,,2012..2013,2012..2013,,,SS00639,333,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01867,P1175,AT45,PS00882,,2012..2013,2012..2013,,,SS00639,340,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01868,P1175,AT45,PS00883,,2012..2013,2012..2013,,,SS00639,340,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01869,P1175,AT45,PS00263,,2012..2013,2012..2013,,compares his situation inside Imaigai to Monkey King inside Princess Iron Fan,SS00639,351,3,F,,Translation,NULL,2021-06-15,MG,2021-06-15,MG
+++,A01870,P1175,AT05,PS09999,,2012..2013,2012..2013,,'As they say; you shouldn’t judge a book by its cover; or a person by his face’,SS00639,323,3,F,,Translation,NULL,2021-06-16,MG,2021-06-16,MG
+++,A01871,P1175,AT45,PS09999,,2012..2013,2012..2013,,reference to Taizong emperor P1177,SS00639,313,3,F,,Translation,NULL,2021-06-16,MG,2021-06-16,MG
+++,A01872,P1165,AT05,PS00884,,2030..2050~,2030..2050~,,reference to describe the father,SS00645,329,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01873,P1178,AT21,Q0038,,2030..2050~,2030..2050~,,gives hope,SS00634,58,3,F,PL0666,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01874,P1178,AT05,PS09999,,2030..2050~,2030..2050~,,narrator sits in a café and flips through a few books thinking about the meaning of life,SS00634,56,3,F,PL0666,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01875,P1178,AT04,Q0038,,2030..2050~,2030..2050~,,gives hope,SS00634,58,3,F,PL0666,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01876,P1179,AT05,PS09999,,1980..1999~,1980..1999~,,he spends all his money in a bookstore; on books to add to the school’s library,SS00628,54,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01877,P1179,AT68,PS00813,,1980..1999~,1980..1999~,,insists on the kids repeatedly reading it despite not understanding the text,SS00628,60,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01878,P1179,AT22,PS00462,,1980..1999~,1980..1999~,,remembers his own earlier reading of Lu Xun’s Complete Works,SS00628,60,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01879,P1179,AT22,Q0039,,1980..1999~,1980..1999~,,,SS00628,60,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01880,P1179,AT05,PS00886,,1980..1999~,1980..1999~,,reference to Newton’s three laws,SS00628,61,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01881,P1181,AT45,PS09999,,1980..1999~,1980..1999~,,,SS00628,53,3,F,unknown work by P0001,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01882,P1180,AT43,PS09999,,1980..1999~,1980..1999~,,protagonist has prospects to marry the illiterate Xui Xui. But she’d always had a fondness for literate people. She says: ‘Just because you can read doesn’t mean you have enough to eat’,SS00628,53,3,F,unknown work; literature in general,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01883,P1184,AT26,PS09999,,2030..2050~,2030..2050~,,clone wife begins to appreciate Chinese classics and loves poems by Li Qingzhao,SS00625,163,3,F,unknown work by P0409,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01884,P1184,AT26,PS09999,,2030..2050~,2030..2050~,,clone wife begins to appreciate Chinese classics and loves poems by Li Yu,SS00625,163,3,F,unknown work by P1182,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01885,P1183,AT17,PS00887,,2030..2050~,2030..2050~,,,SS00625,162,3,F,,Translation,NULL,2021-06-21,MG,2021-06-21,MG
+++,A01886,P1186,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00613,86,3,F,unknown work ; G83 ; reference to P1185,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01887,P1186,AT45,PS09999,,2000..2050~,2000..2050~,,unnamed philosopher who says that beauty and wisdom never exist within the same woman,SS00613,88,3,F,unknown work ; G29,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01888,P1192,AT45,PS00888,,2000..2050~,2000..2050~,,,SS00614,113,3,F,,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01889,P1192,AT45,PS00889,,2000..2050~,2000..2050~,,,SS00614,113,3,F,,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01890,P1192,AT45,PS00890,,2000..2050~,2000..2050~,,,SS00614,113,3,F,,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01891,P1192,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00614,120; 117,3,F,unknown work by P1190,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01892,P1192,AT45,PS09999,,2000..2050~,2000..2050~,,quotes Seymour that robots cannot surpass humans,SS00614,118,3,F,unknown work by P1191,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01893,P1192,AT45,PS09999,,2000..2050~,2000..2050~,,'gewandte Geistesgestalt des ‘Zweiten Jungen Hernn’ aus dem traditionellen Roman’,SS00614,115,3,F,unknown work,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01894,P1192,AT45,PS09999,,2000..2050~,2000..2050~,,'Mythen von damals’,SS00614,120,3,F,unknown work ; G83,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01895,P1193,AT01,PS09999,,1998~,1998~,,news report about Wand Cong on international newspaper,SS00612,,3,F,unknown work ; G55,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01896,P1193,AT01,PS09999,,1998~,1998~,,a research paper,SS00612,147,3,F,unknown work ; G19,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01897,P1193,AT01,PS00891,,1998~,1998~,,,SS00612,146,3,F,,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01898,P1195,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0634,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01899,P1195,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0084,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01900,P1195,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0186,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01901,P1195,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0385,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01902,P1195,AT56,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work ; G33,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01903,P1195,AT01,PS09999,,2000..2050~,2000..2050~,,a newspaper headline,SS00616,175,3,F,unknown work ; G55,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01904,P1195,AT01,PS00892,,2000..2050~,2000..2050~,,the wife reads it and starts a fight,SS00616,176,3,F,,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01905,P1194,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0634,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01906,P1194,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0084,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01907,P1194,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0186,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01908,P1194,AT01,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work by P0385,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01909,P1194,AT56,PS09999,,2000..2050~,2000..2050~,,,SS00616,183,3,F,unknown work ; G33,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01910,P1194,AT01,PS09999,,2000..2050~,2000..2050~,,a newspaper headline,SS00616,175,3,F,unknown work ; G55,Translation,NULL,2021-06-22,MG,2021-06-22,MG
+++,A01911,P1215,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Unknown work by P1196,Translation,NULL,2021-07-02,MG,2021-07-03,MG
+++,A01912,P1215,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Unknown work by P1197,Translation,NULL,2021-07-02,MG,2021-07-03,MG
+++,A01913,P1215,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Unknown work by P1199,Translation,NULL,2021-07-02,MG,2021-07-03,MG
+++,A01914,P1215,AT45,PS00894,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Reference to P1200,Translation,NULL,2021-07-02,MG,2021-07-03,MG
+++,A01915,P1215,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Reference to P1201,check again later; Translation,NULL,2021-07-02,MG,2021-07-03,MG
+++,A01916,P1215,AT45,PS09999,,2000..2050~,2000..2050~,,,SS00611,10,3,F,Reference to P1198,check again later; Translation,NULL,2021-07-02,MG,2021-07-03,MG
