!,,,,,,,,+++,+++,---,---,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,site_information,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00695,AG0103->P0106,AT05,W0153->PS00300,,[1968..1974],[1968..1974],,"There was a local cadre in charge of surveilling the educated youth in the village, so the author had no choice but to show the cadre quotations in Maos collected works or the title of this book would be considered as counterrevolutionary. ",SP0055,"There was a local cadre in charge of surveilling the educated youth in the village, so the author had no choice but to show the cadre quotations in Maos collected works or the title of this book would be considered as counterrevolutionary. ",W0419->SS00005,573,2,,,,en,2018-05-03,WH,2021-01-02->2018-09-10,MG->DP
->,A00701,AG0626->P0999,AT15,W0550->AW00104,,1976..1978,1976..1978,,The movie was shown in prison,SP0002,The movie was shown in prison,W0519->SS00251,113,2,,,,en,2018-06-25,MG,2021-01-02->2018-06-25,MG
->,A00702,AG0374->P0412,AT01,W0045->PS00088,,1971,1971,,A mentions that the educated youths felt that the article made sense to a certain extent such as the reality of the xiaxiang movement the modernization of PRC etc.,,A mentions that the educated youths felt that the article made sense to a certain extent such as the reality of the xiaxiang movement the modernization of PRC etc.,W0520->SS00252,149,2,,,,en,2018-06-26,MG,2020-04-04->2018-06-26,DP->MG
->,A00703,AG0020->P0020,AT01,W0045->PS00088,,1971,1971,,Gao remembers that hat during the criticism of Project 571 in his work unit one of his co-workers made a very strong statement about Lin Biao,,Gao remembers that hat during the criticism of Project 571 in his work unit one of his co-workers made a very strong statement about Lin Biao,W0420->SS00006,136,2,,,,en,2018-06-26,MG,2020-04-04->2018-06-28,DP->MG
->,A00704,AG0020->P0020,AT01,W0001->PS00001,,1966,1966,,Gao Hua mentions that he was impressed by the fact that what Lu Xin expressed a few decades ago was still so real and relevant.,,Gao Hua mentions that he was impressed by the fact that what Lu Xin expressed a few decades ago was still so real and relevant.,W0420->SS00006,134,2,,,,en,2018-06-26,MG,2020-04-04->2018-06-26,DP->MG
->,A00705,AG0114->P0120,AT02,W0242->Q0009,,195x..196x,195x..196x,,Zhang Yang writes that since his childhood he ‚loved (reai) and worshipped / idolized Lu Xun‘. He noted down many memorable things by Lu Xun in his NOTEBOOK,,Zhang Yang writes that since his childhood he ‚loved (reai) and worshipped / idolized Lu Xun‘. He noted down many memorable things by Lu Xun in his NOTEBOOK,W0429->SS00030,52,2,,,,en,2018-06-26,MG,2020-04-04->2018-06-26,DP->MG
->,A00706,AG0114->P0120,AT01,W0243->PS00463,,196x,196x,,is moved by reading the text,,is moved by reading the text,W0429->SS00030,80,2,,,,en,2018-06-26,MG,2020-04-04->2018-06-26,DP->MG
->,A00707,AG0114->P0120,AT01,W0245->PS00465,,195x..196x,195x..196x,,childhood reading,,childhood reading,W0429->SS00030,419,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00708,AG0052->P0053,AT01,W0138->PS00268,,192x..193x,192x..193x,,unknown,,unknown,W0456->SS00134,ONLINE SOURCE,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00709,AG0134->P0154,AT05,W0138->PS00268,,196x..197x,196x..197x,,unknown,,unknown,W0482->SS00160,391,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00710,AG0626->P0999,AT03,W0246->PS00466,AG0037->P0037,1962,1962,,his parents handed the book over,,his parents handed the book over,W0445->SS00118,ONLINE SOURCE,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00711,AG0037->P0037,AT01,W0246->PS00466,,1962,1962,,unknown,,unknown,W0445->SS00118,ONLINE SOURCE,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00712,AG0036->P0036,AT04,W0246->PS00466,,196x..197x,196x..197x,,made an adaptation,,made an adaptation,W0445->SS00118,ONLINE SOURCE,2,,,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00713,AG0063->P0064,AT01,W0246->PS00466,,196x..197x,196x..197x,,the book was read in school by a teacher who was denounced by Red Guards for restoring Kuomintang rule,SP0446,the book was read in school by a teacher who was denounced by Red Guards for restoring Kuomintang rule,W0451->SS00128,51,2,,,,en,2018-06-28,MG,2021-01-02->2018-06-28,MG
->,A00714,AG0018->P0018,AT05,W0414->PS09999,,196x..197x,196x..197x,,mentioned as one of his favorite poets,,mentioned as one of his favorite poets,W0480->SS00158,311,2,,unknown work by: AG0376 G10->unknown work by: P0414 G10,,en,2018-06-28,MG,2020-04-04->2018-06-28,DP->MG
->,A00715,AG0114->P0120,AT01,W0095->PS00218,,1952~,1952~,,unknown,,unknown,W0429->SS00030,56,2,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00716,AG0033->P0033,AT01,W0095->PS00218,,1955~,1955~,,unknown,,unknown,W0443->SS00116,ONLINE SOURCE,2,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00717,AG0033->P0033,AT16,W0095->PS00218,,1955~,1955~,,unknown,,unknown,W0443->SS00116,ONLINE SOURCE,2,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00718,AG0029->P0029,AT05,W0247->PS00467,,1964..1966,1964..1966,,Wu Hong mentions that this screenplay was very popular among his book-friends of that time,,Wu Hong mentions that this screenplay was very popular among his book-friends of that time,W0428->SS00029,119,2,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00719,AG0626->P0999,AT03,W0247->PS00467,AG0029->P0029,1964..1966,1964..1966,,access through private channels,,access through private channels,W0428->SS00029,119,2,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00720,AG0104->P0107,AT05,W0247->PS00467,,19xx,19xx,,According to Wang Shiqiang's research this piece was one of the most influential yellow-covered books for the generation of pre-''misty'' poets. Translated by Huang Yushi 黄雨石,,According to Wang Shiqiang's research this piece was one of the most influential yellow-covered books for the generation of pre-''misty'' poets. Translated by Huang Yushi 黄雨石,W0510->SS00247,78,1,,,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00721,AG0114->P0120,AT05,W0414->PS09999,,196x..197x,196x..197x,,Zhang mentions it as item listed in his uncle‘s notebook,,Zhang mentions it as item listed in his uncle‘s notebook,W0429->SS00030,52,2,,unknown work by: AG0379->unknown work by: P0417,,en,2018-07-03,MG,2020-04-04->2018-07-03,DP->MG
->,A00722,AG0020->P0020,AT01,W0248->PS00468,,1972..197x,1972..197x,,unknown,,unknown,W0420->SS00006,137,2,,,,en,2018-07-04,MG,2020-04-04->2018-07-04,DP->MG
->,A00723,AG0149->P0173,AT03,W0248->PS00468,AG0020->P0020,1972..197x,1972..197x,,unknown,,unknown,W0420->SS00006,137,2,,,,en,2018-07-04,MG,2020-04-04->2018-07-04,DP->MG
->,A00724,AG0149->P0173,AT19,W0248->PS00468,AG0020->P0020,1972..197x,1972..197x,,Liu and Gao discussed Russian literature frequently,,Liu and Gao discussed Russian literature frequently,W0420->SS00006,137,2,,,,en,2018-07-04,MG,2020-04-04->2018-07-04,DP->MG
->,A00725,AG0032->P0032,AT22,W0551->AW00105,,1969..197x,1969..197x,,unknown,,unknown,W0436->SS00109,ONLINE SOURCE,2,,,,en,2018-07-09,MG,2020-04-04->2018-07-09,DP->MG
->,A00726,AG0031->P0031,AT22,W0551->AW00105,,1969..197x,1969..197x,,unknown,,unknown,W0436->SS00109,ONLINE SOURCE,2,,,,en,2018-07-09,MG,2020-04-04->2018-07-09,DP->MG
->,A00727,AG0037->P0037,AT22,W0249->PS00469,,1964..1972,1964..1972,,unknown,,unknown,W0445->SS00118,ONLINE SOURCE,2,,,,en,2018-07-09,MG,2020-04-04->2018-07-09,DP->MG
->,A00728,AG0004->P0004,AT03,W0414->PS09999,AG0018->P0018,1976,1976,,A collection of poems given as a birthday gift,,A collection of poems given as a birthday gift,W0480->SS00158,311,2,,unknown work by: AG0004. one poem was titled: 我属于天空——1975->unknown work by: P0004. one poem was titled: 我属于天空——1975,read during rustication?->,en,2018-07-09,MG,2021-01-02->2018-07-09,MG
->,A00729,AG0114->P0120,AT05,W0250->Q0010,,1975..1976,1975..1976,,unknown,,unknown,W0429->SS00030,196,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00730,AG0045->P0046,AT09,W0044->PS00087,,1971,1971,,every day in Xuexiban they had to learn and memorize paragraphs from the Little Red Book,,every day in Xuexiban they had to learn and memorize paragraphs from the Little Red Book,W0447->SS00120,ONLINE SOURCE,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00731,AG0114->P0120,AT01,W0252->PS00472,,1971~,1971~,,Zhang read it in L0002 after the Lin Biao incident,SP0002,Zhang read it after the Lin Biao incident,W0429->SS00030,110,2,,,,en,2018-07-10,MG,2020-12-08->2018-07-23,MG
->,A00732,AG0430->P0624,AT01,W0252->PS00472,,1971?,1971?,,unknown,,unknown,W0521->SS00253,324,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-17,DP->MG
->,A00733,AG0134->P0154,AT01,W0252->PS00472,,1967..1969,1967..1969,,unknown,,unknown,W0482->SS00160,388,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00734,AG0215->P0239,AT17,W0253->PS00473,,1968..1973,1968..1973,,Ma Xiaodong and zhiqing friends recite a line from the Poem as they watch a beuatiful sundown in Yunnan during a mountain hike,SP0010,Ma Xiaodong and zhiqing friends recite a line from the Poem as they watch a beuatiful sundown in Yunnan during a mountain hike,W0495->SS00205,101,2,,,,en,2018-07-10,MG,2021-01-02->2018-07-10,MG
->,A00735,AG0063->P0064,AT01,W0254->PS00474,,1966,1966,,Gao claims that he learned all 37 published poems by Mao by heart,,Gao claims that he learned all 37 published poems by Mao by heart,W0451->SS00128,63,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00736,AG0063->P0064,AT09,W0254->PS00474,,1966,1966,,Gao claims that he learned all 37 published poems by Mao by heart,,Gao claims that he learned all 37 published poems by Mao by heart,W0451->SS00128,63,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00737,AG0431->P0625,AT01,W0255->PS00475,,197x,197x,,Xu found a paragraph of this book convincing because it described clearly the relation between politics and literature.,,Xu found a paragraph of this book convincing because it described clearly the relation between politics and literature.,W0522->SS00254,20,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-17,DP->MG
->,A00738,AG0063->P0064,AT05,W0255->PS00475,,196x..197x,196x..197x,,The works are mentioned but it‘s not clear whether Gao read them or not,,The works are mentioned but it‘s not clear whether Gao read them or not,W0451->SS00128,197,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00739,AG0626->P0999,AT02,W0255->PS00475,,196x..197x,196x..197x,,Han remembers a zhiqing who copied an English version of Mao‘s Selected Works to improve his English,,Han remembers a zhiqing who copied an English version of Mao‘s Selected Works to improve his English,W0419->SS00005,579,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-10,DP->MG
->,A00740,AG0431->P0625,AT05,W0256->PS00476,,197x,197x,,Xu noticed the influence the speech had,,Xu noticed the influence the speech had,W0522->SS00254,29,2,,,,en,2018-07-10,MG,2020-04-04->2018-07-17,DP->MG
->,A00741,AG0626->P0999,AT03,W0258->PS00478,AG0061->P0062,1974,1974,,The book was given to her while she was in L0002. The family used books for private communication,SP0002,The family used books for private communication,W0440->SS00113,475,2,,,,en,2018-07-13,MG,2020-12-08->2018-07-23,MG
->,A00742,AG0242->P0266,AT01,W0258->PS00478,,1976,1976,,Wong and her husband read Marx every monday,,Wong and her husband read Marx every monday,W0500->SS00210,170,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-24,DP->MG
->,A00743,AG0433->P0627,AT01,W0258->PS00478,,1976,1976,,Wong and her husband read Marx every monday,,Wong and her husband read Marx every monday,W0500->SS00210,170,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-24,DP->MG
->,A00744,AG0121->P0136,AT01,W0258->PS00478,,196x..197x,196x..197x,,unknown,,unknown,W0437->SS00110,499f,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00745,AG0115->P0130,AT04,W0258->PS00478,,1968~,1968~,,Xu wanted to learn how to analyse social institutions,SP0156,Xu wanted to learn how to analyse social institutions,W0471->SS00149,423,2,,,,en,2018-07-17,MG,2021-01-02->2018-07-17,MG
->,A00746,AG0054->P0055,AT11,W0258->PS00478,,1926..1930,1926..1930,,Hou translated this title during his stay in Europe,,Hou translated this title during his stay in Europe,W0454->SS00131,ONLINE SOURCE,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00747,AG0020->P0020,AT01,W0259->PS00479,,196x..1970,196x..1970,,Gao often read marxist-leninist literature,,Gao often read marxist-leninist literature,W0420->SS00006,137,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00748,AG0020->P0020,AT01,W0050->PS00093,,196x..1971,196x..1971,,Gao often read marxist-leninist literature,,Gao often read marxist-leninist literature,W0420->SS00006,137,2,,,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00749,AG0124->P0139,AT05,W0261->PS00481,,196x..197x,196x..197x,,unknown,,unknown,W0474->SS00152,7-10,2,,,Pls check source again for detailed info,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00750,AG0103->P0106,AT01,W0414->PS09999,,1967,1967,,unknown,,unknown,W0419->SS00005,569,2,,unknown work by: AG0305->unknown work by: P0343,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00751,AG0103->P0106,AT12,W0414->PS09999,,1967..197x,1967..197x,,all of his collections were confiscated by Red Guards,,all of his collections were confiscated by Red Guards,W0419->SS00005,569,2,,unknown work by: AG0305->unknown work by: P0343,,en,2018-07-17,MG,2020-04-04->2018-07-17,DP->MG
->,A00752,AG0106->P0109,AT01,W0262->PS00482,,1969..1972,1969..1972,,recommended by a friend (possibly penpal),SP0436,recommended by a friend (possibly penpal),W0425->SS00014,301,2,,,,en,2018-07-17,MG,2021-01-02->2018-07-17,MG
->,A00753,AG0053->P0054,AT01,W0414->PS09999,,1950..196x,1950..196x,,he was interested in the classics and read them a lot,,he was interested in the classics and read them a lot,W0458->SS00136,ONLINE SOURCE,1,,unknown work by: AG0435->unknown work by: P0629,,en,2018-07-20,MG,2020-04-04->2018-07-20,DP->MG
->,A00754,AG0047->P0048,AT01,W0414->PS09999,,1940..1950,1940..1950,,he read the classics in his childhood,SP0437,he read the classics in his childhood,W0458->SS00136,ONLINE SOURCE,1,,unknown work by: AG0435. he learned this in sishu (私塾)->unknown work by: P0629. he learned this in sishu (私塾),,en,2018-07-20,MG,2020-12-08->2018-07-20,MG
->,A00755,AG0114->P0120,AT05,W0414->PS09999,,196x..197x,196x..197x,,Zhang mentions it as item listed in his uncle‘s notebook,,Zhang mentions it as item listed in his uncle‘s notebook,W0429->SS00030,52,2,,unknown work by: AG0435->unknown work by: P0629,,en,2018-07-20,MG,2020-04-04->2018-09-10,DP->MG
->,A00756,AG0029->P0029,AT01,W0414->PS09999,,196x..1966,196x..1966,,unknown,,unknown,W0428->SS00029,116f,2,,unknown work by: AG0436->unknown work by: P0630,,en,2018-07-20,MG,2020-04-04->2018-07-20,DP->MG
->,A00757,AG0143->P0166,AT03,W0414->PS09999,AG0029->P0029,196x..1966,196x..1966,,Wu Hong had access to many books via his mother‘s private collection,SP0442,Wu Hong had access to many books via his mother‘s private collection,W0428->SS00029,116f,2,,unknown work by: AG0436->unknown work by: P0630,,en,2018-07-20,MG,2021-01-02->2018-07-20,MG
->,A00758,AG0106->P0109,AT02,W0414->PS09999,,1969..1972,1969..1972,,copied into her notebook,SP0436,copied into her notebook,W0425->SS00014,301,2,,unknown work by: AG0438->unknown work by: P0632,,en,2018-07-20,MG,2021-01-02->2018-07-20,MG
->,A00759,AG0130->P0150,AT05,W0264->PS00484,,19xx,19xx,,Link mentions this title as listed by Jiang Qing with seven other works as 'highly recommended' reading,,Link mentions this title as listed by Jiang Qing with seven other works as 'highly recommended' reading,W0434->SS00075,170,1,,,no source or date for the list is given,en,2018-07-20,MG,2020-04-04->2018-07-20,DP->MG
->,A00760,AG0020->P0020,AT01,W0265->PS00485,,1971..197x,1971..197x,,unknown,,unknown,W0420->SS00006,137,2,,Accessed in L0001,,en,2018-07-23,MG,2020-04-04->2018-07-23,DP->MG
->,A00761,AG0114->P0120,AT01,W0414->PS09999,,1952~,1952~,,unknown,,unknown,W0429->SS00030,57,2,,unknown work by: AG0107->unknown work by: P0110,,en,2018-07-24,MG,2020-04-04->2018-07-24,DP->MG
->,A00762,AG0103->P0106,AT12,W0414->PS09999,,1967..196x,1967..196x,,The text was confiscated by Red Guards,,The text was confiscated by Red Guards,W0419->SS00005,569,2,,unknown work by: AG0107->unknown work by: P0110,,en,2018-07-24,MG,2020-04-04->2018-07-24,DP->MG
->,A00763,AG0002->P0002,AT01,W0266->PS00486,,1962,1962,,unknown,,unknown,W0492->SS00195,18,2,,Accessed in L0003 in PL0300,,en,2018-07-30,MG,2020-04-04->2018-07-30,DP->MG
->,A00764,AG0125->P0140,AT23,W0553->AW00107,,1978,1978,,was very impressed,SP0070,was very impressed,W0479->SS00157,74,,,,,en,2018-08-03,MG,2021-01-02->2018-08-03,MG
->,A00765,AG0009->P0009,AT01,W0414->PS09999,,196x..197x,196x..197x,,doesn‘t like these poems,,doesn‘t like these poems,W0487->SS00189,32,2,,unknown work by: AG0229 G10->unknown work by: P0253 G10,,en,2018-08-03,MG,2020-04-04->2018-08-03,DP->MG
->,A00766,AG0033->P0033,AT01,W0267->PS00487,,1955~,1955~,,read this book in elementary school,SP0446,read this book in elementary school,W0443->SS00116,ONLINE SOURCE,2,,,,en,2018-08-16,MG,2021-01-02->2018-08-16,MG
->,A00767,AG0002->P0002,AT01,W0268->PS00488,,1962..1963,1962..1963,,recommended by P0021,,recommended by P0021,W0492->SS00195,18,2,,,,en,2018-08-16,MG,2020-04-04->2018-08-16,DP->MG
->,A00768,AG0029->P0029,AT02,W0011->PS00028,,1966,1969,,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,W0428->SS00029,121,,,,,en,2017-07-28,LH,2020-04-04->2018-09-23,DP->MG
->,A00769,AG0103->P0106,AT12,W0414->PS09999,,1967?,1967?,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,SP0442,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419->SS00005,569,,,unknown work by: AG0001 G28->unknown work by: P0001 G28,,en,2017-07-28,LH,2021-01-02->2018-09-23,MG
->,A00770,AG0014->P0014,AT03,W0004->PS00010,AG0105->P0108,1972,1975,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,W0424->SS00012,381,,,,,en,2017-07-12,OS,2020-04-04->2018-09-07,DP
->,A00800,AG0506->P0700,AT26,W0414->PS09999,,1966,1966~,,Sasha Gong says that Pushkin was her favorite writer and poet at the time,,Sasha Gong says that Pushkin was her favorite writer and poet at the time,W0523->SS00255,96,2,,unknown work by: AG0286->unknown work by: P0324,,en,2018-10-16,LH,2020-04-04->2018-10-16,DP->LH
->,A00801,AG0506->P0700,AT01,W0134->PS00263,,1966,1966~,,Sasha Gong describes how she and the other kids borrowed comic books at a rental shop and read them,,Sasha Gong describes how she and the other kids borrowed comic books at a rental shop and read them,W0523->SS00255,99,2,,,,en,2018-10-16,LH,2020-04-04->2018-10-16,DP->LH
->,A00802,AG0506->P0700,AT27,W0134->PS00263,,1966,1966~,,Sasha Gong describes how she and the other kids borrowed comic books at a rental shop and read them,,Sasha Gong describes how she and the other kids borrowed comic books at a rental shop and read them,W0523->SS00255,99,2,,,,en,2018-10-16,LH,2020-04-04->2018-10-16,DP->LH
->,A00803,AG0626->P0999,AT14,W0414->PS09999,,1966,1966,,One hot day in August 1966 all the books in that store were burned by the Red Guards following the general instructions of Chairman Mao to destroy old things. … Burning pages flew into the air. Children ran around chasing them trying to catch relics of a dying culture to preserve even a tiny fragment of the fading memory of happy moments.,,One hot day in August 1966 all the books in that store were burned by the Red Guards following the general instructions of Chairman Mao to destroy old things. … Burning pages flew into the air. Children ran around chasing them trying to catch relics of a dying culture to preserve even a tiny fragment of the fading memory of happy moments.,W0523->SS00255,100,2,,,,en,2018-10-16,LH,2020-04-04->2018-10-16,DP->LH
->,A00804,AG0506->P0700,AT01,W0269->PS00489,,1968,1968,,Sasha Gong describes how to readers in 1968 life in a Siberian labor camp was enviable. Through reading the novel she understands the Chinese situation better,,Sasha Gong describes how to readers in 1968 life in a Siberian labor camp was enviable. Through reading the novel she understands the Chinese situation better,W0523->SS00255,123-126,2,,,,en,2018-10-16,LH,2020-04-04->2018-10-16,DP->LH
->,A00805,AG0506->P0700,AT26,W0414->PS09999,,1971~->1970..1973~,1971~->1970..1973~,,I wasn‘t so thrilled by the French except for Victor Hugo but I loved the Russian authors,SP0420,I wasn‘t so thrilled by the French except for Victor Hugo but I loved the Russian authors,W0523->SS00255,147,2,,unknown work by: AG0237->unknown work by: P0261,read during rustication?->,en,2018-10-16,LH,2021-03-11->2018-10-16,MG->LH
->,A00806,AG0506->P0700,AT02,W0414->PS09999,,1971~->1970..1973~,1971~->1970..1973~,,,SP0420,,W0523->SS00255,148,2,,unknown work by: AG0286->unknown work by: P0324,read during rustication?->,en,2018-10-16,LH,2021-03-11->2018-10-16,MG->LH
->,A00810,AG0252->P0276,AT01,W0414->PS09999,,1972..,1972..,,After Nixon’s visit to China P0644’s name began to become well known in some small circles of people.,,After Nixon’s visit to China P0644’s name began to become well known in some small circles of people.,W0499->SS00209,287,2,,unknown work by: AG0450->unknown work by: P0644,,en,2018-10-19,MG,2020-04-04->2019-07-10,DP->WH
->,A00811,AG0103->P0106,AT01,W0414->PS09999,,1972~,1972~,,"This book belonged to the ""neibu"" collection at that time.",SP0055,"This book belonged to the ""neibu"" collection at that time.",W0419->SS00005,580,2,,unknown work by: AG0451->unknown work by: P0645,,en,2018-10-19,MG,2021-01-02->2019-07-10,MG->WH
->,A00812,AG0197->P0221,AT01,W0414->PS09999,,1962?,1970?,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,,Li read a lot of Marxist theory in the 1960s. First the official accounts and then the deviant neibu sources,W0490->SS00170,249,2,,unknown work by: AG0079->unknown work by: P0080,,en,2018-10-19,MG,2020-04-04->2019-07-10,DP->WH
->,A00813,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0452->unknown work by: P0999 G02 about P0646,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00814,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0453->unknown work by: P0999 G02 about P0647,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00815,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0454->unknown work by: P0999 G02 about P0648,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00816,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0455->unknown work by: P0999 G02 about P0649,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00817,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0456->unknown work by: P0999 G02 about P0650,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00818,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0208->unknown work by: P0999 G02 about P0232,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00819,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0457->unknown work by: P0999 G02 about P0651,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00820,AG0020->P0020,AT01,W0414->PS09999,,1970..197x,1970..197x,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,,The books were from the Nanjing secondary schools and were stored in an office after the schools were moved to the countryside,W0420->SS00006,134,2,,unknown work by: AG0626 G02 about AG0458->unknown work by: P0999 G02 about P0652,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00821,AG0114->P0120,AT23,W0270->PS00490,,1972..1973->1966..197x,1972..1973->1966..197x,,oral transmission,SP0113,oral transmission,W0429->SS00030,30,2,,30; 152-153; 220; 251,,en,2018-10-24,MG,2021-03-11->2018-10-24,MG
->,A00822,AG0114->P0120,AT23,W0271->PS00491,,1972..1973->1966..197x,1972..1973->1966..197x,,oral transmission,SP0113,oral transmission,W0429->SS00030,30,2,,,,en,2018-10-24,MG,2021-03-11->2018-10-24,MG
->,A00823,AG0114->P0120,AT23,W0272->PS00492,,1972..1973->1966..197x,1972..1973->1966..197x,,oral transmission,SP0113,oral transmission,W0429->SS00030,30,2,,,,en,2018-10-24,MG,2021-03-11->2018-10-24,MG
->,A00824,AG0114->P0120,AT23,W0273->PS00493,,1972..1973->1966..197x,1972..1973->1966..197x,,oral transmission,SP0113,oral transmission,W0429->SS00030,31,2,,,,en,2018-10-24,MG,2021-03-11->2018-10-24,MG
->,A00825,AG0114->P0120,AT05,W0414->PS09999,,1966..197x,1966..197x,,Zhang mentions Aristotle as an item which appears in his uncle‘s notebook,,Zhang mentions Aristotle as an item which appears in his uncle‘s notebook,W0429->SS00030,52,2,,unknown work by: AG0082->unknown work by: P0084,,en,2018-10-24,MG,2020-04-04->2018-10-24,DP->MG
->,A00826,AG0253->P0277,AT02,W0414->PS09999,AG0252->P0276,1972~,1972~,,Tang Ke copied the poem of P0091 in his letter to P0276.,,Tang Ke copied the poem of P0091 in his letter to P0276.,W0499->SS00209,288,2,,,,en,2018-11-05,MG,2020-04-04->2019-06-10,DP->WH
